#1#3#	19.0
#1#3#14743#2#	17.5
#1#3#13518#2#	18.0
#1#3#11436#2#	17.75
#1#3#11036#2#	17.5
#1#3#2107#2#	17.5
#1#3#15186#2#	19.0
#1#3#1036#2#	20.75
#1#3#9577#2#	17.5
#1#3#8883#2#	17.5
#1#3#18571#2#	17.75
#1#3#7242#2#	17.75
#1#3#6426#2#	17.5
#1#3#1229#2#	18.75
#1#3#11232#2#	22.5
#1#3#11918#2#	19.0
#1#3#18739#2#	20.25
#1#3#14331#2#	19.25
#1#3#6859#2#	17.75
#1#3#15550#2#	18.75
#1#3#12109#2#	20.5
#1#3#15097#2#	17.75
#1#3#2975#2#	17.5
#1#3#13757#2#	18.0
#1#3#2421#2#	18.25
#1#3#14176#2#	19.25
#1#3#13642#2#	29.0
#1#3#11653#2#	21.5
#1#3#13760#2#	17.5
#1#3#18467#2#	18.5
#1#3#11743#2#	18.75
#1#3#16138#2#	17.5
#1#3#9064#2#	18.75
#1#3#16006#2#	19.0
#1#3#16573#2#	18.25
#1#3#7098#2#	17.75
#1#3#6901#2#	18.0
#1#3#11729#2#	18.25
#1#3#7644#2#	18.0
#1#3#15282#2#	18.0
#1#3#1228#2#	18.25
#1#3#10973#2#	18.5
#1#3#1211#2#	23.25
#1#3#6415#2#	17.5
#1#3#11742#2#	18.25
#1#3#7094#2#	18.25
#1#3#6536#2#	21.25
#1#3#4147#2#	18.25
#1#3#13759#2#	18.25
#1#3#12958#2#	17.5
#1#3#13730#2#	18.0
#1#3#13573#2#	17.75
#1#3#7039#2#	21.0
#1#3#12026#2#	17.75
#1#3#3612#2#	19.5
#1#3#3041#2#	20.75
