#5#13#	28.0
#5#13#15321#12#	11.75
#5#13#4392#12#	11.5
#5#13#4872#12#	11.75
#5#13#7714#12#	12.25
#5#13#14288#12#	11.5
#5#13#18054#12#	11.75
#5#13#11935#12#	11.5
#5#13#12048#12#	11.75
#5#13#6643#12#	11.75
#5#13#12217#12#	11.5
#5#13#9217#12#	11.75
#5#13#13642#12#	12.0
#5#13#8515#12#	11.5
#5#13#12238#12#	11.5
#5#13#13646#12#	11.75
#5#13#13586#12#	11.5
#5#13#18782#12#	11.5
#5#13#14743#12#	11.75
#5#13#4120#12#	11.5
#5#13#5717#12#	11.5
#5#13#5322#12#	11.5
#5#13#10400#12#	11.75
#5#13#12811#12#	12.0
#5#13#10231#12#	11.5
#5#13#11250#12#	11.5
#5#13#4378#12#	12.0
#5#13#1394#12#	12.25
#5#13#12145#12#	11.75
#5#13#4147#12#	11.5
#5#13#16472#12#	12.0
#5#13#13569#12#	11.75
#5#13#7098#12#	11.75
#5#13#5536#12#	11.75
#5#13#10813#12#	11.75
#5#13#5324#12#	13.5
#5#13#15097#12#	12.0
#5#13#14324#12#	11.75
#5#13#13472#12#	11.5
#5#13#636#12#	11.5
#5#13#13698#12#	11.5
#5#13#11729#12#	12.25
#5#13#7204#12#	11.75
#5#13#12332#12#	11.75
#5#13#3041#12#	12.75
#5#13#8774#12#	11.5
#5#13#13407#12#	11.5
#5#13#7821#12#	11.5
#5#13#6864#12#	11.75
#5#13#7441#12#	11.5
#5#13#4240#12#	12.0
#5#13#5462#12#	11.5
#5#13#13573#12#	12.0
#5#13#17491#12#	11.5
#5#13#4876#12#	11.5
#5#13#12337#12#	11.5
#5#13#15329#12#	11.75
#5#13#6536#12#	11.5
#5#13#6414#12#	11.75
#5#13#3643#12#	11.5
#5#13#6202#12#	11.5
#5#13#14176#12#	11.5
#5#13#13759#12#	12.0
#5#13#13891#12#	11.75
#5#13#17142#12#	11.5
#5#13#18591#12#	11.5
#5#13#13614#12#	11.75
#5#13#6627#12#	11.75
#5#13#14331#12#	11.5
#5#13#14407#12#	11.5
#5#13#919#12#	12.25
#5#13#5416#12#	11.5
#5#13#7039#12#	11.75
#5#13#4227#12#	12.5
#5#13#10961#12#	11.75
#5#13#15206#12#	12.25
#5#13#13521#12#	12.0
#5#13#2203#12#	11.5
#5#13#13757#12#	11.75
#5#13#17329#12#	12.0
#5#13#8258#12#	12.0
#5#13#13851#12#	11.5
#5#13#1078#12#	11.5
#5#13#3766#12#	11.5
#5#13#4828#12#	11.5
#5#13#16948#12#	12.75
#5#13#12085#12#	11.5
#5#13#5587#12#	12.75
#5#13#14744#12#	11.75
#5#13#10973#12#	15.0
#5#13#6212#12#	11.5
#5#13#6860#12#	11.75
